TOTAL COST,REGULAR VEHICLE COST,MRT OUTSOURCE COST,LOWER BOUND,GAP,RUNTIME,INSTANCE NAME
267.17,267.17,0.0,267.17,0.0,0.04799985885620117,A-n10-k3-m0-b1
267.17,267.16999999999996,0.0,267.16999999999996,2.1276123389904563e-16,0.029000043869018555,A-n10-k3-m1-b1
201.10000000000002,183.1,18.0,201.09999999999997,2.8266245082450533e-16,0.03299999237060547,A-n10-k3-m2-b1
201.10000000000002,183.1,18.0,201.1,1.4133122541225264e-16,0.09299993515014648,A-n10-k3-m3-b1
298.88,298.88,0.0,298.88,0.0,0.12800002098083496,A-n11-k4-m0-b1
298.88,298.88,0.0,298.88,0.0,0.2109999656677246,A-n11-k4-m1-b1
276.57,240.57000000000002,36.0,276.57000000000005,-2.0552995213077342e-16,0.13300013542175293,A-n11-k4-m2-b1
227.67999999999998,173.68,54.0,227.68,-1.248318228671996e-16,0.10400009155273438,A-n11-k4-m3-b1
400.99,400.99,0.0,400.99,0.0,2.438999891281128,A-n12-k4-m0-b1
323.15999999999997,311.16,12.0,323.16,-1.7589868443126627e-16,0.14400005340576172,A-n12-k4-m1-b1
323.15999999999997,311.16,12.0,323.16,-1.7589868443126627e-16,0.07599997520446777,A-n12-k4-m2-b1
295.4,213.4,82.0,295.40000000000003,-1.9242863527693978e-16,0.32899999618530273,A-n12-k4-m3-b1
320.45,320.45,0.0,320.45000000000005,-1.7738623454769232e-16,0.1700000762939453,A-n13-k4-m0-b1
320.45,320.45,0.0,320.45,0.0,0.1639997959136963,A-n13-k4-m1-b1
306.69,226.68999999999997,80.0,306.68999999999977,7.413794888755168e-16,0.3250000476837158,A-n13-k4-m2-b1
282.71000000000004,202.71,80.0,282.71000000000004,0.0,0.21000003814697266,A-n13-k4-m3-b1
341.78000000000003,341.78,0.0,341.78,1.6631581385923115e-16,0.23399996757507324,A-n14-k4-m0-b1
314.75,302.75,12.0,314.75,0.0,0.5300002098083496,A-n14-k4-m1-b1
265.07,220.07000000000005,45.0,265.07,0.0,0.125,A-n14-k4-m2-b1
265.07,220.07,45.0,265.07000000000005,-2.1444682106918173e-16,0.28999996185302734,A-n14-k4-m3-b1
442.49999999999994,442.5,0.0,442.5,-1.284597036402441e-16,1.8399999141693115,A-n15-k4-m0-b1
381.57,357.57,24.0,381.57,0.0,3.9049999713897705,A-n15-k4-m1-b1
319.59999999999997,251.6,68.0,319.59682162162164,9.94496241294144e-06,0.19099998474121094,A-n15-k4-m2-b1
319.6,251.60000000000005,68.0,319.6,0.0,0.4179999828338623,A-n15-k4-m3-b1
342.62,342.61999999999995,0.0,342.62,0.0,0.29400014877319336,A-n16-k4-m0-b1
342.62,342.61999999999995,0.0,342.61999999999995,1.659080580841983e-16,0.3059999942779541,A-n16-k4-m1-b1
297.11,253.11,44.0,297.11,0.0,0.41300010681152344,A-n16-k4-m2-b1
275.73,231.73,44.0,275.72999999999996,2.0615609059880326e-16,0.2589998245239258,A-n16-k4-m3-b1
421.84,421.84,0.0,421.84000000000015,-4.0425340551494403e-16,4.772000074386597,A-n17-k4-m0-b1
348.85999999999996,334.86,14.0,348.86,-1.6294048862239297e-16,0.6770000457763672,A-n17-k4-m1-b1
327.69,239.69,88.0,327.69,0.0,0.5439999103546143,A-n17-k4-m2-b1
315.73,227.73000000000002,88.0,315.73,0.0,0.4240000247955322,A-n17-k4-m3-b1
468.52,468.52000000000004,0.0,468.52,0.0,6.815000057220459,A-n18-k4-m0-b1
404.06000000000006,402.06,2.0,404.06000000000006,0.0,5.115000009536743,A-n18-k4-m1-b1
359.74000000000007,317.74,42.0,359.7399999999999,4.740375176027801e-16,5.065000057220459,A-n18-k4-m2-b1
325.31,272.31,53.0,325.30999999999995,1.7473615585382565e-16,0.7839999198913574,A-n18-k4-m3-b1
456.34999999999997,456.34999999999997,0.0,456.35,-1.2456101426713709e-16,15.990999937057495,A-n19-k4-m0-b1
393.77,389.77,4.0,393.7700000000001,-2.8871381192476826e-16,0.8669998645782471,A-n19-k4-m1-b1
376.03,340.03000000000003,36.0,376.0300000000001,-3.0233448852914927e-16,7.202999830245972,A-n19-k4-m2-b1
336.92,266.92,70.0,336.91999999999985,5.061446532780011e-16,4.869999885559082,A-n19-k4-m3-b1
475.73,475.73,0.0,475.72999999999996,1.1948672326909806e-16,4.5,A-n20-k4-m0-b1
439.84,406.84,33.0,439.8399999999999,1.292365834412696e-16,3.052000045776367,A-n20-k4-m1-b1
406.9,396.90000000000003,10.0,406.9,0.0,9.08400011062622,A-n20-k4-m2-b1
359.67999999999995,273.68,86.0,359.67999999999995,0.0,2.5940001010894775,A-n20-k4-m3-b1
504.75,504.7499999999999,0.0,504.75,0.0,12.542999982833862,A-n21-k4-m0-b1
442.39,403.38999999999993,39.0,442.39000000000004,-1.2849164506613624e-16,4.744999885559082,A-n21-k4-m1-b1
442.39,403.38999999999993,39.0,442.3899999999999,2.569832901322726e-16,12.172999858856201,A-n21-k4-m2-b1
362.53000000000003,293.53000000000003,69.0,362.53,1.5679645508180845e-16,5.021000146865845,A-n21-k4-m3-b1
491.25,491.2499999999999,0.0,491.25,0.0,64.36800003051758,A-n22-k4-m0-b1
443.22,406.21999999999997,37.0,443.21999999999997,1.2825102400795998e-16,5.700999975204468,A-n22-k4-m1-b1
443.22,406.21999999999997,37.0,443.2199999999999,2.5650204801591997e-16,320.5409998893738,A-n22-k4-m2-b1
393.76,274.75999999999993,119.0,393.76,0.0,7.740999937057495,A-n22-k4-m3-b1
520.1,520.0999999999999,0.0,520.1000000000003,-4.371729964299788e-16,348.70300006866455,A-n23-k4-m0-b1
447.25999999999993,443.25999999999993,4.0,447.25999999996355,8.133923907999842e-14,135.0609998703003,A-n23-k4-m1-b1
447.25999999999993,443.25999999999993,4.0,447.25999999999993,0.0,220.2460000514984,A-n23-k4-m2-b1
426.61999999999995,322.62,104.0,426.61999999999995,0.0,25.020999908447266,A-n23-k4-m3-b1
499.75,499.75,0.0,499.75000000000006,-1.1374370957640422e-16,16.651999950408936,A-n24-k4-m0-b1
447.36999999999995,411.37,36.0,447.3699999999998,3.811839340644749e-16,10.85699987411499,A-n24-k4-m1-b1
437.66,413.65999999999997,24.0,437.6599999999978,5.065332302635662e-15,7.174000024795532,A-n24-k4-m2-b1
418.51,320.51,98.0,418.50999999999993,1.3582332288549384e-16,12.79200005531311,A-n24-k4-m3-b1
560.94,560.9399999999999,0.0,560.94,0.0,8407.147000074387,A-n25-k4-m0-b1
532.78,471.78000000000003,61.0,532.7799999999995,8.535368273705179e-16,212.40499997138977,A-n25-k4-m1-b1
527.7799856184089,471.7799874850755,55.99999813333338,527.7799856184089,0.0,9295.063999891281,A-n25-k4-m2-b1
520.6899999999999,457.68999999999994,63.0,520.6710770360478,3.634341292754367e-05,6961.7300000190735,A-n25-k4-m3-b1
553.39,553.3899999999999,0.0,553.39,0.0,7317.072000026703,A-n26-k4-m0-b1
523.63,447.63,76.0,523.629999999999,1.9540162700657835e-15,1359.1150000095367,A-n26-k4-m1-b1
523.63,447.63,76.0,523.6299999999998,4.342258377923957e-16,3815.755000114441,A-n26-k4-m2-b1
490.74000000000007,327.73999999999995,163.0,490.74000000000063,-1.1583204723643465e-15,70.58100008964539,A-n26-k4-m3-b1
590.93,590.93,0.0,590.93,0.0,858.5169999599457,A-n32-k5-m0-b1
550.24,502.24,48.0,550.24,0.0,1902.7909998893738,A-n32-k5-m1-b1
550.24,502.24,48.0,550.24,0.0,1155.4509999752045,A-n32-k5-m2-b1
532.16,437.1600000000001,95.0,532.1599999999997,4.272656258328927e-16,72.56299996376038,A-n32-k5-m3-b1
549.9,549.9,0.0,549.9000000000016,-2.894373028009856e-15,125.6010000705719,A-n33-k5-m0-b1
