,instance,TC,TC Bound,Running time,MIP Gap,Num MRT Line Used
96,A-n38-k5-m0-b5,691.5100000000001,410.51,14436.657,40.6357102572631,0
97,A-n38-k5-m1-b5,691.51,397.755128596429,14421.313,42.48020583991135,0
98,A-n38-k5-m2-b5,683.91,400.6172727272728,14432.422,41.42251572176561,0
99,A-n38-k5-m3-b5,674.31,379.7756172359752,14425.297,43.6793733985889,3
100,A-n38-k6-m0-b6,690.8600000000001,405.49,14420.266,41.306487566221826,0
101,A-n38-k6-m1-b6,667.1100000000001,410.2677999504996,14417.016,38.50072702395415,1
102,A-n38-k6-m2-b6,675.81,386.0581012658353,14420.813,42.87475751086321,1
103,A-n38-k6-m3-b6,646.86,386.183177509188,14427.844000000001,40.298800743717656,2
104,A-n43-k6-m0-b6,823.5999999999999,395.52,14426.359,51.976687712481784,0
105,A-n43-k6-m1-b6,825.3999999999999,406.7912273403253,14437.453,50.715867780430656,0
106,A-n43-k6-m2-b6,815.9500000000002,403.0906274769278,14426.687,50.59861174374315,1
107,A-n43-k6-m3-b6,769.1999966162178,400.773338844145,14435.031,47.897381616330726,1
108,A-n44-k6-m0-b6,887.9400000000002,371.2,14425.266,58.195373561276675,0
109,A-n44-k6-m1-b6,867.26,385.986225747462,14437.905999999999,55.493597566189834,0
110,A-n44-k6-m2-b6,867.46,393.3109082667492,14423.329000000002,54.65947614106135,0
111,A-n44-k6-m3-b6,934.3500000000001,383.8249938110631,14421.187,58.920640679503066,1
112,A-n44-k7-m0-b7,1077.05,331.45,14443.562,69.22612692075576,0
113,A-n44-k7-m1-b7,987.26,349.5441128491291,14427.891,64.5945229373084,1
114,A-n44-k7-m2-b7,1076.76,339.6372270049524,14446.079000000002,68.45748105381399,1
115,A-n44-k7-m3-b7,972.5098339517174,321.1565659096461,14430.625,66.97652252989035,2
116,A-n45-k7-m0-b7,841.9899999999999,437.73,14441.937,48.01244670364255,0
117,A-n45-k7-m1-b7,818.98,435.8341057941241,14443.984,46.783302914097526,0
118,A-n45-k7-m2-b7,809.33,428.4536473915527,14426.14,47.060698677726926,1
119,A-n45-k7-m3-b7,815.0400000000003,428.6747411026409,14459.437,47.404453633853464,0
120,A-n47-k7-m0-b7,971.8299999999999,424.31,14434.031,56.33907164833356,0
121,A-n47-k7-m1-b7,1012.7199999999998,422.4950668411171,14422.859,58.28115699886276,0
122,A-n47-k7-m2-b7,919.8199955016667,393.6927479519995,14439.703,57.1989356746609,2
123,A-n47-k7-m3-b7,956.9100000000001,395.1299067150275,14428.062,58.7077252076969,2
124,A-n5-k2-m0-b2,251.07999999999998,251.08,0.313,1.1319782312571294e-14,0
125,A-n5-k2-m1-b2,241.89,241.89,0.281,0.0,1
126,A-n5-k2-m2-b2,229.07999999999998,229.08,0.15700000000000003,1.2406892539900474e-14,2
127,A-n5-k2-m3-b2,229.07999999999998,229.08,0.203,1.2406892539900474e-14,2
128,A-n52-k7-m0-b7,896.71,405.65,14445.297,54.76240925159751,0
129,A-n52-k7-m1-b7,910.2900000000001,401.725519048512,14422.125,55.868402481790206,1
130,A-n52-k7-m2-b7,888.94,395.4951739399955,14417.954,55.50935114405973,2
131,A-n52-k7-m3-b7,867.59,388.6871684300389,14443.125,55.19921063750862,2
132,A-n53-k7-m0-b7,1058.9900000000002,,14428.25,64.21118235299673,0
133,A-n53-k7-m1-b7,991.8400000000001,361.735375883769,14436.813,63.528857892022,1
134,A-n53-k7-m2-b7,973.0600000000001,371.3318279736784,14429.688,61.83875321422334,2
135,A-n53-k7-m3-b7,979.84,372.0787138877114,14433.406,62.02658455587531,1
136,A-n54-k9-m0-b9,965.1099999999998,295.96,14424.155999999999,69.33406554693248,0
137,A-n54-k9-m1-b9,947.9399999999999,351.5027593392448,14411.375,62.919302979171164,0
138,A-n54-k9-m2-b9,931.2199999999998,345.6807248789627,14431.672,62.878726307536056,1
139,A-n54-k9-m3-b9,926.1899769401964,351.0843464283599,14411.656,62.093700518308545,1
140,A-n59-k9-m0-b9,1317.85,382.56,14420.562,70.97089957127139,0
141,A-n59-k9-m1-b9,1272.95,394.0635636262033,14438.828,69.04328028389149,0
142,A-n59-k9-m2-b9,1204.6499681081875,377.6914987914159,14424.344000000001,68.64719970195559,2
143,A-n59-k9-m3-b9,1253.7999999999997,372.7160987563663,14421.953,70.2730819304222,0
144,A-n6-k2-m0-b2,199.92,199.92,0.31300000000000006,0.0,0
