,instance,TC,TC Bound,Running time,MIP Gap,Num MRT Line Used
159,A-n62-k10-m3-b10,3642.7799999999993,1267.63,28801.938000000002,65.20157681770516,1
160,A-n62-k9-m0-b9,4317.39,1069.08,28834.141,75.23781729239194,0
161,A-n62-k9-m1-b9,4341.529999999999,1080.14,28819.188,75.12075236149467,1
162,A-n62-k9-m2-b9,4397.910000000001,1047.31,28805.719,76.18618843950877,2
163,A-n62-k9-m3-b9,4428.05,1004.740647222737,28803.109,77.30963635860623,2
164,A-n63-k9-m0-b9,3864.4200000000005,1318.29,28936.594,65.88647196733275,0
165,A-n63-k9-m1-b9,3858.3199999999997,1329.58,28867.157000000003,65.53992411204877,1
166,A-n63-k9-m2-b9,3818.94,1345.88,28842.547,64.75776000670342,1
167,A-n63-k9-m3-b9,3839.9500000000003,1240.54,28835.172,67.6938501803409,3
168,A-n64-k9-m0-b9,3143.6699999999987,1113.12,28821.640000000003,64.59170332763934,0
169,A-n64-k9-m1-b9,0,1043.99,29098.516000000003,104399.0,0
170,A-n64-k9-m2-b9,3347.9899999999993,1045.63,28803.968,68.76842523424502,2
171,A-n64-k9-m3-b9,0,1030.97,28930.64,103097.0,0
172,A-n68-k9-m0-b9,2717.399999999999,1274.79,28902.844,53.08787811879001,0
173,A-n68-k9-m1-b9,2788.9700000000003,1158.06,28819.203,58.47714389183104,1
174,A-n68-k9-m2-b9,2884.43,1102.54,28803.203,61.776156814344596,1
175,A-n68-k9-m3-b9,2832.7799999999997,1155.96,28802.313000000002,59.193442484061585,2
176,A-n7-k3-m0-b3,609.69,609.6899999999999,1.735,1.8646662684580034e-14,0
177,A-n7-k3-m1-b3,609.6899999999999,609.6899999999999,1.6720000000000002,0.0,0
178,A-n7-k3-m2-b3,446.81000000000006,446.81,0.656,1.2722056100089076e-14,1
179,A-n7-k3-m3-b3,374.93,374.93,2.1719999999999997,0.0,1
180,A-n79-k10-m0-b10,5069.07,1358.16,28802.203,73.2069196124733,0
181,A-n79-k10-m1-b10,4764.120000000001,1356.16,28811.641000000003,71.5338824378899,1
182,A-n79-k10-m2-b10,0,1342.09,28808.281000000003,134209.0,0
183,A-n79-k10-m3-b10,4729.490000000001,1284.47,28802.782,72.841257725463,3
184,A-n8-k3-m0-b3,926.9100000000001,926.91,924.172,1.2265143079869245e-14,0
185,A-n8-k3-m1-b3,725.31,725.3100000000001,170.76600000000002,1.5674241044741702e-14,1
186,A-n8-k3-m2-b3,617.2700000000001,617.27,4847.609,1.8417683950559076e-14,2
187,A-n8-k3-m3-b3,468.53,468.53,7820.578,0.0,1
188,A-n9-k3-m0-b3,714.36,714.3600000000001,67.61,1.5914502172800274e-14,0
189,A-n9-k3-m1-b3,714.36,714.3599999999999,10.391,1.5914502172800274e-14,0
190,A-n9-k3-m2-b3,597.32,597.3199999999999,511.5,1.903281954758187e-14,1
191,A-n9-k3-m3-b3,426.41,426.41,1382.094,0.0,1
192,taipei-n12-k4-m0-b2,324.8838457127311,324.856833006617,20339.516000000003,0.008314573491586756,0
193,taipei-n12-k4-m3-b2,187.3024057302767,159.9858001856731,54045.64,14.584225674036801,2
194,taipei-n15-k5-m0-b2,344.75370000000004,286.6977174106606,54046.922000000006,16.839843224116073,0
195,taipei-n15-k5-m3-b2,204.62810000000005,139.3536746547884,54084.688,31.89905264487704,3
196,taipei-n18-k5-m0-b2,374.9200104015984,239.5321545752466,54058.25000000001,36.11113092665555,0
197,taipei-n18-k5-m3-b2,225.8662,141.685239079684,54090.468,37.270278120549236,3
198,taipei-n9-k3-m0-b2,273.6837,273.6837,2399.047,0.0,0
199,taipei-n9-k3-m3-b2,140.15488928053415,140.1548892805341,50750.375,4.055757109338525e-14,3
