,instance,TC,TC Bound,Running time,MIP Gap,Num MRT Line Used
177,A-n7-k2-m1-b1,162.95999999999998,162.96,0.5469999999999999,1.7440911530684836e-14,1
178,A-n7-k2-m2-b1,162.95999999999998,162.96,0.75,1.7440911530684836e-14,1
179,A-n7-k2-m3-b1,162.95999999999998,162.96,0.782,1.7440911530684836e-14,1
180,A-n8-k3-m0-b1,242.34,242.34,0.9369999999999999,0.0,0
181,A-n8-k3-m1-b1,242.34000000000003,242.34,1,1.1728030630685816e-14,0
182,A-n8-k3-m2-b1,148.78,148.78,0.703,0.0,1
183,A-n8-k3-m3-b1,148.78,148.78,1.469,0.0,1
184,A-n80-k10-m0-b5,1488.3099999999995,370.25,14405.781,75.12279027890693,0
185,A-n80-k10-m1-b5,1472.2599999999998,366.3698469366383,14402.641,75.11513951770488,0
186,A-n80-k10-m2-b5,1539.73,362.719075587709,14420.780999999999,76.44268309458742,1
187,A-n80-k10-m3-b5,1661.7799999999997,362.0658433620572,14435,78.2121674733083,2
188,A-n9-k3-m0-b1,202.43,202.43,1.844,0.0,0
189,A-n9-k3-m1-b1,202.43,202.43,2.078,0.0,0
190,A-n9-k3-m2-b1,181.26,181.26,2.687,0.0,2
191,A-n9-k3-m3-b1,181.26,181.26,1.6880000000000002,0.0,2
